cod_variedad,cod_articulo,variedad,itbis_alt1,itbis_alt2,itbis_alt3,itbis_alt4
6072,61171,Retrovirales (VIH) tratamiento,0,0,0,0
6106,11111,Pan de ajonjolí,0,0,16,0
6109,95311,Tabla periódica,,10,,
6125,94121,Entrada a piscina privada,,10,,
6140,105111,Curso de ingeniería electromecánica,,10,,
6141,105111,Cuota de curso de ingeniería electromecánica,,10,,
6144,62311,Examen de campo visual,0,0,0,0
6181,62111,Consulta anestesiólogo,0,0,0,0
6199,11221,Costillita ahumada,,10,16,
6217,62311,Análisis de fósforo,0,0,0,0
6218,62311,Examén de refracción ocular,0,0,0,0
6219,44311,Servicio de limpieza de cloacas,0,0,0,0
6225,62311,Análisis de doping (droga),0,0,0,0
6239,105111,Inscripción de curso de contabilidad,,10,,
6242,94121,Cuota de curso de ajedrez,,10,,
6246,94121,Inscripción de cursos de baile,,10,,
6249,105111,Inscripción de cursos de oratoria,,10,,
6250,111121,Platos de frutas,0,0,0,0
6274,11321,Filete de basa (pescado),,10,16,
6282,105111,Cuota de curso de secretaria recepcionista,,10,,
6285,105111,Inscripción en curso de electrónica digital,,10,,
6286,105111,Cuota de curso de electrónica digital,,10,,
6288,105111,Cuota de curso de caja (cajera bancaria),,10,,
6310,95111,Libros de colorear,,10,,
6312,62111,Consulta de neurocirujano,0,0,0,0
6327,62311,Prueba IGRA (análisis de tuberculosis),0,0,0,0
6333,101121,Cuota de educación especial,0,0,0,0
6340,105111,Cuota de curso de enfermería,,10,,
6343,61171,Gotas oftálmicas para el glaucoma,0,0,0,0
6346,105111,Inscripción de cursos de maquillaje profesional,,10,,
6360,105111,Terapia ocupacional (niños especiales),,10,,
6367,105111,pag1o de materiales (curso de belleza),,10,,
6371,11113,Pan de licor,,10,16,
6379,11113,Pastelito de pollo y maíz,,10,16,
6382,11113,Pastelito de pepperoni y queso,,10,16,
6392,105111,Inscripción de curso de refrigeración,,10,,
6419,105111,Cuota de curso de mercadeo y ventas,,10,,
6428,94121,Inscripción de curso de música,,10,,
6433,11113,Quipe precocido de res,,10,16,
6436,11113,Croqueta precocida de queso,,10,16,
6446,11132,Avena molida no saborizada,,10,16,
6447,11211,Carne molida de ternera,,10,16,
6451,11411,Leche entera liquida sin lactosa,0,0,16,0
6453,11411,Leche descremada liquida sin lactosa,0,0,16,0
6454,11411,Leche líquida saborizada sin lactosa,0,0,16,0
6455,11411,Leche liquida pasteurizada (no UHT),0,0,16,0
6456,11421,Leche en polvo entera sin lactosa,0,0,16,0
6465,11621,Pistacho,,10,16,
6533,112111,Servicios de alojamientos vivienda familiar o amigos,0,0,0,0
6544,73511,"Transporte de turismo, pag1ado por separado (trenes, lanchas, barcos)",0,0,0,0
6559,11311,Pescado puerco,,10,16,
6650,93411,Spray acondicionador para animales,,10,,
6653,11113,Cazabe con ajo,,10,16,
6669,93411,Vitamina y minerales para animales,,10,,
6670,93411,Antibiótico para animales,,10,,
6738,105111,Inscripción en sala de tarea,,10,,
6739,105111,Servicio de clase o tutoría particular,,10,,
6740,105111,"Inscripción en cursos de educación no formal: cocina, corte, peluquería",,10,,
6742,62111,Consulta de Geriatría,0,0,0,0
6822,61141,Antialérgicos y antihistamínicos,0,0,0,0
6823,61311,Yeso removible ortopédico,0,0,0,0
6824,61211,Plantillas ortopédicas,0,0,0,0
6831,93511,Servicio de veterinaria (consulta),,10,,
6861,44411,Gastos comunes (en copropiedad de área común) en vivienda secundaria,0,0,0,0
6862,44411,Gastos comunes (en copropiedad de área común) en vivienda vacacional o de veraneo,0,0,0,0
7348,61121,Antibióticos,0,0,0,0
7361,62311,Prueba widal (fiebre tifoidea),0,0,0,0
7366,62311,Análisis leucodistrofia metacromática (LDM),0,0,0,0
7370,11621,Semillas de cajuil,,10,16,
7376,62311,Análisis de plomo,0,0,0,0
7382,62311,Análisis de fertilidad,0,0,0,0
7386,11311,Pescado machuelo,,10,16,
7388,61211,"Botella de raíces (curanderos, brujos, etc.)",0,0,0,0
7389,61171,Medicamentos para adenoides,0,0,0,0
7392,11611,Jobo,,10,16,
7451,61171,Medicamentos para el lupus,0,0,0,0
7470,127111,pag1o certificado médico,0,0,0,0
7474,94121,Cuota de clases de baile,,10,,
7476,61171,Medicamento para la alopecia,0,0,0,0
7516,201123,pag1o por mora de marbete de vehículo,,10,,
7557,61311,Catéter,0,0,0,0
7700,95311,Impresión y encuadernación,,10,,
7758,61311,Silla baño portátil para enfermos,0,0,0,0
7760,127111,Trámite para residencia o cuidadanía,0,0,0,0
7837,11111,Pan de puerro y cebolla,0,0,16,0
7838,11212,Alas de pollo,0,0,16,0
7893,93411,Antimicótico en crema para animales,,10,,
8234,61211,Gasa,0,0,0,0
8236,62311,Prueba de paternidad o de A.D.N.,0,0,0,0
8245,62311,Cultivo de secreción del oído,0,0,0,0
8246,11111,Pan de anís,0,0,16,0
8247,93511,Aplicación de vacuna para animales,,10,,
8250,61311,Nebulizador (aparato),0,0,0,0
8251,61171,Medicamentos para adelgazar,0,0,0,0
8252,105111,pag1o de materiales (curso operador de electrocardiograma),,10,,
8261,61211,"Vendas adhesivas o no adhesivas (parches adhesivos, vendas deportivas)",0,0,0,0
8263,61211,Curitas,0,0,0,0
8268,105111,Cuota de curso de español,,10,,
8269,94121,Cuota de curso de futbol,,10,,
8271,105111,Cuota de curso de electricidad,,10,,
8344,105111,Cuota de curso de etiqueta y protocolo,,10,,
8370,61171,Medicamento para incontinencia urinaria,0,0,0,0
8371,105111,Inscripción en curso de costura,,10,,
8372,105111,Cuota de curso de costura,,10,,
8402,105111,Cuota de curso de soldadura,,10,,
8611,11212,Alas de pavo,,10,16,
8615,62311,Prueba de cloruro,0,0,0,0
8616,62311,Prueba de sodio,0,0,0,0
8620,94221,Entrada a parque acuático,,10,,
8808,62311,Análisis de hormona paratiroidea (PTH) ,0,0,0,0
8810,93411,Arena para animales domésticos,,10,,
8823,61311,Prótesis ortopédica,0,0,0,0
8824,61151,Fibra dietética,0,0,0,0
8858,94221,Entrada a parques naturales,,10,,
8859,94121,Entrada a Gallera,0,0,0,0
8860,61211,Tobillera ortopédica,0,0,0,0
8866,95311,Mapas educativos,,10,,
8877,11211,Albondiga de res,,10,16,
