cod_variedad,cod_articulo,cod_subclase,cod_clase,cod_subgrupo,cod_grupo
852,31291,3129,312,31,3
853,31291,3129,312,31,3
854,31291,,,,
855,31311,3131,313,31,3
856,31291,,,,
857,31311,3131,313,31,3
858,123211,12321,1232,123,12
859,31321,3132,313,31,3
860,31321,3132,313,31,3
861,31321,3132,313,31,3
862,32141,,,,
863,31321,3132,313,31,3
864,31321,3132,313,31,3
865,31321,3132,313,31,3
866,31311,3131,313,31,3
867,31311,3131,313,31,3
868,31311,3131,313,31,3
869,31311,3131,313,31,3
870,31311,3131,313,31,3
871,31311,3131,313,31,3
872,31311,3131,313,31,3
873,31311,3131,313,31,3
874,31311,3131,313,31,3
875,31311,,,,
876,31311,,,,
877,31411,3141,314,31,3
878,31411,3141,314,31,3
879,31411,3141,314,31,3
880,31411,3141,314,31,3
881,31411,3141,314,31,3
882,31411,3141,314,31,3
883,31411,3141,314,31,3
884,31411,,,,
885,31421,3142,314,31,3
886,31421,3142,314,31,3
887,31421,,,,
889,32111,3211,321,32,3
890,32111,3211,321,32,3
891,32111,3211,321,32,3
892,32111,3211,321,32,3
893,32111,3211,321,32,3
894,32111,,,,
895,32112,3211,321,32,3
896,32112,3211,321,32,3
897,32112,3211,321,32,3
898,32112,3211,321,32,3
899,32112,,,,
900,32131,,,,
901,32112,,,,
902,32121,3212,321,32,3
903,32121,3212,321,32,3
904,32121,3212,321,32,3
908,32131,,,,
909,32131,,,,
910,32131,,,,
911,32131,,,,
912,32131,,,,
913,32131,,,,
914,32131,,,,
915,32131,,,,
916,32131,3213,321,32,3
917,32131,,,,
918,32131,,,,
919,32211,3221,322,32,3
921,32211,,,,
922,32221,3222,322,32,3
923,32231,,,,
924,41111,4111,411,41,4
926,41111,4111,411,41,4
927,41111,4111,411,41,4
928,41111,,,,
931,43111,,,,
932,43111,,,,
934,43111,4311,431,43,4
935,43111,4311,431,43,4
937,43111,4311,431,43,4
938,43111,,,,
939,43111,4311,431,43,4
942,43111,4311,431,43,4
943,43111,4311,431,43,4
944,55211,5521,552,55,5
945,43111,4311,431,43,4
946,43111,4311,431,43,4
947,43111,,,,
948,43111,4311,431,43,4
949,55211,5521,552,55,5
950,43111,,,,
951,43111,,,,
952,43111,,,,
953,55211,5521,552,55,5
954,43111,4311,431,43,4
955,43111,4311,431,43,4
956,43111,4311,431,43,4
957,43111,4311,431,43,4
958,43111,4311,431,43,4
959,43111,,,,
960,43111,4311,431,43,4
961,43111,4311,431,43,4
963,43111,4311,431,43,4
964,43111,,,,
965,43111,,,,
966,43111,,,,
968,43211,4321,432,43,4
970,43211,4321,432,43,4
971,43211,4321,432,43,4
972,43211,,,,
974,43211,4321,432,43,4
976,43211,4321,432,43,4
977,43211,4321,432,43,4
978,43211,4321,432,43,4
980,43211,4321,432,43,4
981,55222,5522,552,55,5
982,55100,5510,551,55,5
983,53311,5331,533,53,5
984,55211,5521,552,55,5
985,43211,4321,432,43,4
986,43211,,,,
987,44111,4411,441,44,4
988,44111,4411,441,44,4
989,44111,4411,441,44,4
990,44111,,,,
991,44211,4421,442,44,4
993,44211,,,,
994,44311,4431,443,44,4
995,44411,4441,444,44,4
996,44411,4441,444,44,4
997,44411,4441,444,44,4
998,45111,4511,451,45,4
999,45111,4511,451,45,4
1000,45111,4511,451,45,4
1001,45211,4521,452,45,4
1002,45211,4521,452,45,4
1003,45211,,,,
1004,45311,4531,453,45,4
1005,45311,4531,453,45,4
1006,45311,,,,
1007,45411,4541,454,45,4
1008,45411,4541,454,45,4
1009,45411,4541,454,45,4
1010,45411,,,,
1011,51111,5111,511,51,5
1012,51111,5111,511,51,5
1013,51111,5111,511,51,5
1014,51111,5111,511,51,5
1015,51111,5111,511,51,5
1016,51111,5111,511,51,5
1017,51111,5111,511,51,5
1018,51111,5111,511,51,5
1019,51111,5111,511,51,5
1020,51111,5111,511,51,5
1021,51111,,,,
1022,51111,5111,511,51,5
1023,51111,5111,511,51,5
1024,51111,,,,
1025,51111,5111,511,51,5
1026,51111,5111,511,51,5
1027,51111,5111,511,51,5
1028,51111,5111,511,51,5
1029,51111,5111,511,51,5
1030,51111,,,,
1031,51111,,,,
1032,51111,5111,511,51,5
1036,51111,5111,511,51,5
1037,51131,,,,
1038,51111,,,,
1039,51121,5112,511,51,5
1040,51121,5112,511,51,5
1041,51121,5112,511,51,5
1042,51121,5112,511,51,5
1043,51121,5112,511,51,5
1044,51131,5113,511,51,5
1045,51121,5112,511,51,5
1046,51121,5112,511,51,5
1047,51121,,,,
1049,51132,5113,511,51,5
1050,51132,5113,511,51,5
1051,51132,5113,511,51,5
1052,51132,5113,511,51,5
1053,51132,,,,
1054,51141,5114,511,51,5
1055,51141,5114,511,51,5
1056,51141,5114,511,51,5
1057,51141,5114,511,51,5
1058,51141,,,,
1059,51141,5114,511,51,5
1060,51141,,,,
1061,51141,,,,
1062,51141,5114,511,51,5
1063,123211,12321,1232,123,12
1064,51141,5114,511,51,5
1065,51141,,,,
1066,51141,,,,
1067,51211,,,,
1068,51211,5121,512,51,5
1069,51211,,,,
1070,51311,5131,513,51,5
1071,51311,,,,
1072,51311,,,,
1074,51311,5131,513,51,5
1076,51311,,,,
1077,52111,5211,521,52,5
1078,52111,5211,521,52,5
1079,52111,5211,521,52,5
1080,52111,5211,521,52,5
1081,52111,5211,521,52,5
1082,52111,5211,521,52,5
1083,52111,5211,521,52,5
1084,52111,5211,521,52,5
1085,52111,5211,521,52,5
1086,52111,5211,521,52,5
1087,52121,,,,
1088,52121,5212,521,52,5
1089,52121,5212,521,52,5
1091,52121,5212,521,52,5
1092,52121,5212,521,52,5
1093,52121,,,,
1095,52121,,,,
1096,51121,5112,511,51,5
1097,53111,5311,531,53,5
1098,53111,5311,531,53,5
1099,53111,5311,531,53,5
1100,53111,5311,531,53,5
1101,53211,5321,532,53,5
1102,54111,5411,541,54,5
1103,53111,,,,
1104,53111,,,,
1105,53112,5311,531,53,5
1106,53112,5311,531,53,5
1107,53112,5311,531,53,5
1108,53112,,,,
1109,53121,5312,531,53,5
1110,53121,5312,531,53,5
1111,53121,5312,531,53,5
1112,53121,5312,531,53,5
1113,53121,5312,531,53,5
1114,53121,5312,531,53,5
1115,53121,,,,
1116,53121,,,,
1117,53131,5313,531,53,5
1118,53131,5313,531,53,5
1119,53131,5313,531,53,5
1120,53211,5321,532,53,5
1121,53211,5321,532,53,5
1122,53211,,,,
1123,53211,5321,532,53,5
1124,53211,,,,
1125,53211,,,,
1126,53211,5321,532,53,5
1127,53211,5321,532,53,5
1128,53211,5321,532,53,5
1129,53211,5321,532,53,5
1130,53211,,,,
1131,53211,5321,532,53,5
1132,53211,5321,532,53,5
1133,53211,,,,
1135,53311,5331,533,53,5
1136,53311,5331,533,53,5
1137,53311,5331,533,53,5
1138,53311,5331,533,53,5
1139,53311,5331,533,53,5
1141,53311,,,,
1142,54111,,,,
1143,54111,5411,541,54,5
1145,54111,5411,541,54,5
1146,54111,5411,541,54,5
1147,54111,5411,541,54,5
1148,54111,5411,541,54,5
1149,54111,5411,541,54,5
1150,54111,5411,541,54,5
1151,54111,5411,541,54,5
1152,54111,5411,541,54,5
1153,54111,5411,541,54,5
1154,54111,5411,541,54,5
1155,54111,,,,
1156,54111,5411,541,54,5
1157,54111,5411,541,54,5
1158,54111,5411,541,54,5
1159,54111,5411,541,54,5
1160,54111,5411,541,54,5
1161,54111,5411,541,54,5
1162,54111,5411,541,54,5
1163,54111,,,,
1164,54111,5411,541,54,5
1165,54111,5411,541,54,5
1166,54111,5411,541,54,5
1167,54111,5411,541,54,5
1168,54111,,,,
1169,54111,5411,541,54,5
1170,54111,5411,541,54,5
1171,54111,5411,541,54,5
1172,54111,5411,541,54,5
1173,54111,,,,
1174,54111,5411,541,54,5
1175,54111,,,,
1176,54111,5411,541,54,5
1177,54111,5411,541,54,5
1178,54121,5412,541,54,5
1179,54121,5412,541,54,5
1180,54121,5412,541,54,5
1181,54121,5412,541,54,5
1182,54121,5412,541,54,5
1183,54121,5412,541,54,5
1184,54121,5412,541,54,5
1185,54121,,,,
1186,54121,5412,541,54,5
1187,54121,5412,541,54,5
1188,54121,5412,541,54,5
1189,54121,,,,
1190,54121,,,,
1191,54121,5412,541,54,5
1192,54121,5412,541,54,5
1193,54121,5412,541,54,5
1194,54121,5412,541,54,5
1195,54121,5412,541,54,5
1196,54121,5412,541,54,5
1197,54121,5412,541,54,5
1198,54121,5412,541,54,5
1199,54121,5412,541,54,5
1200,54121,,,,
1201,54131,5413,541,54,5
1202,54131,5413,541,54,5
1203,54131,5413,541,54,5
1204,54131,,,,
1205,54131,5413,541,54,5
1206,54131,5413,541,54,5
1207,54131,5413,541,54,5
1209,54131,5413,541,54,5
1210,54131,5413,541,54,5
1211,54131,5413,541,54,5
1212,54131,5413,541,54,5
1213,54131,5413,541,54,5
1214,54131,5413,541,54,5
1215,54131,5413,541,54,5
1216,54131,5413,541,54,5
1217,54131,5413,541,54,5
1218,56115,5611,561,56,5
1219,56115,5611,561,56,5
1220,54131,,,,
1222,54131,5413,541,54,5
1224,54131,5413,541,54,5
1225,54131,,,,
1226,56121,,,,
1227,54131,,,,
1228,54131,,,,
1229,54131,5413,541,54,5
1230,54131,,,,
1231,54131,,,,
1232,55100,5510,551,55,5
1233,55100,5510,551,55,5
1234,55100,5510,551,55,5
1235,55100,,,,
1236,55100,,,,
1237,55211,5521,552,55,5
1238,55211,5521,552,55,5
1239,55211,5521,552,55,5
1240,55211,5521,552,55,5
1242,55211,5521,552,55,5
1243,55211,5521,552,55,5
1244,55211,,,,
1245,55211,5521,552,55,5
1246,55211,5521,552,55,5
1247,55211,5521,552,55,5
1248,55211,5521,552,55,5
1249,55211,,,,
1250,55211,5521,552,55,5
1251,55211,,,,
1253,55221,5522,552,55,5
1254,55221,5522,552,55,5
1255,55221,5522,552,55,5
1257,55221,,,,
1258,55221,,,,
1259,55222,5522,552,55,5
1261,55222,,,,
1262,55222,,,,
1263,55222,5522,552,55,5
1264,55222,5522,552,55,5
1265,55222,5522,552,55,5
1266,56111,5611,561,56,5
1267,56111,5611,561,56,5
1268,56111,5611,561,56,5
1269,56111,5611,561,56,5
1270,56111,5611,561,56,5
1271,56111,5611,561,56,5
1272,56112,5611,561,56,5
1273,56112,5611,561,56,5
1274,56112,,,,
1275,56112,,,,
1276,56113,5611,561,56,5
1277,56113,5611,561,56,5
1278,56113,5611,561,56,5
1279,56114,5611,561,56,5
1280,56114,5611,561,56,5
1281,56114,5611,561,56,5
1282,56114,5611,561,56,5
1284,56114,5611,561,56,5
1285,56115,5611,561,56,5
1286,56115,5611,561,56,5
1287,56115,5611,561,56,5
1289,56115,5611,561,56,5
1291,56115,5611,561,56,5
